,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
0,lLiyw2rw3MRloopPy2CVWsNiL9v67_lmQPHSQWeBjJR9JTM,echo22,1084,I,198,141,False,False,False,True
1,BhJyabIhF7bGz2CWYC_aHGO7kKmpqQu8JtmCC1hJ-Amv_uPRDTgexlmQug,Wardstone Wadid,1000,I,184,124,False,False,False,True
2,C_ZOY8x2XGewp3ZMexfpskWstAIqR05zsluJBDQK9F90Qfo,KilluaXL9z,992,I,1019,960,False,False,False,False
3,3pkQyUaAWpdRYdRewcn5cTN_w5eXhZg0l4zaTQbH1ChrroM,Veignorem,1035,I,813,751,True,False,False,True
4,XVVUBh8vduDw14NRS7-xGbb0O58v5W_8iUV7_AtiZ6Co0es,invicta23,1018,I,847,782,True,False,False,False
5,eX4vnFMfHwf-TkhH5DUV61MSNG1FGSutlaCUT5sCpDi4LBtU,Mountain Wolf,1587,I,391,284,True,False,False,False
6,WPzHbdh0p5G5-07ir9Xr8BzpGz70rMdsZuP2w_xW6V-jZlfFrFBTV_gNOA,Buccellati,1009,I,104,53,False,False,False,True
7,Y_fR1RCWNaAOsU_6DQgcntN8uB_We6iWVKpXqN60fc_s3I7CDy92mq4kMg,Molnigt,1118,I,279,193,False,False,True,True
8,iGVScE4pM9_kEcrSmWX73sxS5J3eUMUzFdSEcgUnnECEUYs,xFlavour4youGirl,1059,I,529,460,False,False,False,False
9,kYErf7Wei9kcgMhqcsaYvdyi4CfIooEQSgS99i_lFPPXVY7Jlv71dQaF3g,Giyuu zzz,1084,I,630,565,False,False,False,True
10,Pty_YkEZY2EXGkewyAaDJdX-aBhD2QdbnTTVVIkWBSrrd_Q,Mr Tickle,1313,I,371,285,True,False,False,False
11,5kDI_TZL85gk317RYXgJoRQQMdyxav921fR_J4QMLWyyu9w,abcdefghijklmnoz,1221,I,136,85,True,False,False,True
12,QMDA8Ucknb7QwBS7hFxWXiTnBaefQA8h0jUesaapO-SrHfM,Kakan,996,I,689,629,False,False,False,True
13,H0E6CXjjcknu1AwIE2rs_t-M982tMY3siglvZ90Wvzy0Lng,Infoneral,1010,I,460,393,False,False,True,True
14,z-jy5YFpy9KVM9BUGNvs6R9rGkuqV9wFcCSjjKg1SN3av1g,Neramin1,1080,I,447,371,False,False,False,False
15,2RPsOApGxwqV5_ZMP0TdnRMIpVIuqFbRw1eElajNX3z9nNI,Quinncidence,989,I,415,355,False,False,False,False
16,Vxo5hSPgCf_UZ4XAxUwaHiRO5aufgptyvy4pvxoKSQCl7ks,FGG,997,I,620,561,False,False,False,True
