summonerId,summonerName_y,leaguePoints_y,wins_y,losses_y,win_loss_ratio_y,DimKey,ValidFrom,ValidTo,IsCurrent
UcKPstF5sPa69a4OGdJgNa77WkzMQlJgfjl-USaDPtKFtPY,Kamiloo ,1052,433,351,55.23,0,20221213,99991231,1
QJ3PBTz7-RhaNmiXIlhZakiR_H5RM1qSWZFGuQiBGIE_zHY,Don Noway,1386,509,426,54.44,1,20221213,99991231,1
IiYuseZSUBJCtZFx8diK4reYXXqeWNL0fZQlpn5P_r_RKW3Dn9iWXazKXQ,120 KG BENCH,971,598,548,52.18,2,20221213,99991231,1
_rag99cd8v38FaMygvC_rG34OkqT2u1xgXcnfE84vVE0z3o,SLY Stealbag,1035,280,252,52.63,3,20221213,99991231,1
jtzQHIONjvRXRnpNx3tYbaGXFYMDNhOgHHq6VVtnTDhPxG-r,DIA Shy Carry,1000,300,233,56.29,4,20221213,99991231,1
2OsQTH55ZmcqE0Q10X9Q592NsVD41lMepFIPPC9bH5y2-nc,AHaHaCiK,1190,822,750,52.29,5,20221213,99991231,1
6DPOp5VC1uz38Kj3KRSoosl58je-vYBIPSw5OJ2YuocUSeY,PatkicaA,1086,421,355,54.25,6,20221213,99991231,1
lVKzx3AsdKVGyRv1MTNrW6f0mEA3TniRw8ZSXMkWjSzLGwA6,Tοαst,1162,888,810,52.3,7,20221213,99991231,1
l9nQln2A7GsdgBj73T_rr9Mwojc5TLbquYlC6j6q6Y3Bgs0,Barkoon,1119,988,912,52.0,8,20221213,99991231,1
H-neVRe29C9CupwAyrrwXbsWl2_3H2gvZya9GuDezRo-ZK-FaNATlesIxw,wo taoyan suiji,1053,189,112,62.79,9,20221213,99991231,1
mNsNHy3H0ps6F3Jw-Is41EakhMPSqnoJSIp9UzOUqp9B-w_2,NapoIeon Hill,1467,411,343,54.51,10,20221213,99991231,1
rs-Nzc90w-1dnLkwNHXZWrttp0hrPAnlLAOJlpdy1oxaVZvm,TwTv iljimaeEUW,976,477,375,55.99,11,20221213,99991231,1
ijFjjpK43V-Ii9Z-DWSBFzyaj194TBddJ1XE4Ukl7mu9I0oF4FEvlDKAhw,Noa Ehn,1253,178,111,61.59,12,20221213,99991231,1
F3Q5zx3s22_V9cszDk4a1xTS03Qm6svKIRi2RNcADkb3cJU,qweqweqweq,1054,400,341,53.98,13,20221213,99991231,1
d0NazOqQFX3hB9yo0G8re9518T2G3cXWKiiSdIg20yFjLOT77xsUez51Pw,costy,971,523,455,53.48,14,20221213,99991231,1
FMUDLQJDQDFKUhmd5OiKmObG7ZI5xYEmLDm_j5TRBopj6YM,TW Ronges1,1110,567,497,53.29,15,20221213,99991231,1
qHhGdMVg31qW5N1-8BaCnDwVVOEhCsl7qBn2A-YhqhE5mXs,Maxlore,968,1183,1129,51.17,16,20221213,99991231,1
bTvoUze_g5eozPOgyobQn8Qt9mkSk1p3K8DldyxAA-5v1TX4,zhypey,1218,150,102,59.52,17,20221213,99991231,1
FQPn1xPV4gLKhmzXiwyMzK_QDCk5bX6ts4l2fyz8gOSVxoP9RrPkqYLJew,prenda lo motore,1003,182,144,55.83,18,20221213,99991231,1
a778SxNWzJZ0FSGbRd5WB2iQNWi3xLEOs4d5-CWMGe1L3WId,asdsadasadsdas,996,116,60,65.91,19,20221213,99991231,1
NuI4uXidWbM2tJNgwVFtS53vnS5LjvG9FChISYnkWtlByS0,Hadeslol,1022,92,68,57.5,20,20221213,99991231,1
Kosjjx5bqQ6AIxv1gbW3LRQRhpkn5u49bcq_TbGstS4SVlo,Lathyrus,1131,516,454,53.2,21,20221213,99991231,1
txz53Jg86YjDjuSK5zivO2fYAnzJXNFDe0nSxgchAiztv3tWw3CliYvx1g,Fleshy2,1189,238,171,58.19,22,20221213,99991231,1
hd6ZlhW2HI6dZndQrBHqn7tv1CAgTCiYHrKsUuWDIaVSC08,DY Stend,964,739,680,52.08,23,20221213,99991231,1
Nf6l7AuiBTnA8kki4B-Aeivr9iZpKd930gjYAvOuMjLuqTU,MartHR1,991,443,380,53.83,24,20221213,99991231,1
xA0S3CkcVfyaf-Ll8Ve0Q0PkpxOk9RN4Vox4k7KiUFHvXuZR,Iziio,1202,419,359,53.86,25,20221213,99991231,1
_M4JJxQKV7UKjt82Ilfg1Cdib7_1Rrxm5FmgmwVSmurLvhT-,Nash3,1103,211,168,55.67,26,20221213,99991231,1
RUseSmN0UP-_j7UuPCzJ0GrYFL8l5luqqYZbNQr_bEacuUDh,twtv rinanb,1080,288,217,57.03,27,20221213,99991231,1
LEhcCdsIs6LbG-pyP3XWztL1ezuvuGNfkV29b9jkSVNBTQE,Brexited gamer,1067,413,348,54.27,28,20221213,99991231,1
uRrtrvswoxtdsKvX437hPaWsI99cOJvUFxQD2MT0XMyqccg,month of rain,1015,335,272,55.19,29,20221213,99991231,1
th-frtJVSAItJV6MWra55Q_h7XnSUOvWjDqdSz2Ly22PVMA,i die lvl3,1002,430,373,53.55,30,20221213,99991231,1
2YlSUsVPoU3T_tX46nd6wvM-wNL3DSLMq_hFbqAQCEk_4DU,Ekko the Neeko,1012,1191,1137,51.16,31,20221213,99991231,1
DYsyR4m8DZm3p8kQO9sOBoV5kDFM6cKDHwbWgn0AkYn-M9LF,2022 10 01,1002,447,367,54.91,32,20221213,99991231,1
O0eJ8Wz1ESchI4gEZdmoN1MmRvbD--4c7h4xPeZgwRUKviw,Unméi,999,393,325,54.74,33,20221213,99991231,1
jJXkZjQLDfTH8n6nNZGza52sChgix_B78W0AitdSrzO65AR6,chenzelot,978,398,332,54.52,34,20221213,99991231,1
BVOU_46R0GU_QN683UQmijXx22MN6zpRrc8Y3K9RxSipv-0,Pyrkã,1045,397,338,54.01,35,20221213,99991231,1
8t6pZK6jgWZ436rXMBX853c3MKwkF6jen1txsIZ5OMnEcJlw2X3XvBK5Lg,Thats a shame,1006,254,191,57.08,36,20221213,99991231,1
U4esJ4DlLcFLI24TqBS24e6vNAozYYTFUXdO-_7ypkkNNKMGbXSDSgOXjA,Twitter Enemy,1150,318,242,56.79,37,20221213,99991231,1
Z3FXKhuzo_WsFVl46xU86363fLEnVttWFqLPyf92hI8uKUmS,Thørs Snorresson,1402,251,157,61.52,38,20221213,99991231,1
bJoYv3oxbkxKkFM2kSltAfydvlntb6mazaZuozsuRMmzE1l8,999DHVS,1007,522,475,52.36,39,20221213,99991231,1
ZGeHJxZ_PcSalhc_NTF6ROSQsxWGim40NswpLFE2qMnJYxE,Stormaxx,1317,285,207,57.93,40,20221213,99991231,1
mPnDL2EDrKignUyW5IQyVzAg_BRKFBm_Gny0zVrEp00JJicq,Sorya,1070,265,203,56.62,41,20221213,99991231,1
HbHfohAyJ8cnQZudIYlP6lPi-sE9ws94j0pxTBcV9S9NdSc,xKenzuke,973,557,491,53.15,42,20221213,99991231,1
